marca,total_vendas,total_receita,participacao_vendas,participacao_receita,participacao_receita_acumulada
Daewoo,2,900.0,0.0,0.0,0.0
Geo,19,10050.0,0.0,0.0,0.0
Lotus,1,40800.0,0.0,0.0,0.0
Plymouth,20,191850.0,0.0,0.0,0.0
Isuzu,200,344976.0,0.04,0.0,0.01
Oldsmobile,364,347325.0,0.07,0.0,0.01
Fisker,9,418150.0,0.0,0.01,0.02
Lamborghini,4,450500.0,0.0,0.01,0.02
Aston Martin,25,1370300.0,0.0,0.02,0.04
Tesla,23,1542250.0,0.0,0.02,0.06
Saab,483,1744500.0,0.09,0.02,0.09
Ferrari,19,2417000.0,0.0,0.03,0.12
Smart,386,2424300.0,0.07,0.03,0.15
Rolls-Royce,17,2609300.0,0.0,0.04,0.19
Suzuki,899,3155920.0,0.17,0.04,0.23
Maserati,132,6010500.0,0.02,0.08,0.31
Fiat,784,7793577.0,0.15,0.11,0.42
Mercury,1985,7832550.0,0.37,0.11,0.52
Bentley,116,8626650.0,0.02,0.12,0.64
Saturn,2831,9592650.0,0.53,0.13,0.77
Hummer,799,12215938.0,0.15,0.17,0.94
Scion,1654,15707650.0,0.31,0.21,1.15
Pontiac,4434,16723951.0,0.82,0.23,1.38
Jaguar,1419,28089076.0,0.26,0.38,1.76
Mitsubishi,3789,31296733.0,0.7,0.42,2.18
Mini,3167,38941850.0,0.59,0.53,2.71
Volvo,3779,43364552.0,0.7,0.59,3.3
Buick,5040,54049600.0,0.94,0.73,4.03
Porsche,1381,55258751.0,0.26,0.75,4.78
Land Rover,1734,57420780.0,0.32,0.78,5.55
Subaru,5032,77489461.0,0.94,1.05,6.6
Acura,5871,82424600.0,1.09,1.12,7.72
Mazda,8155,83717422.0,1.52,1.13,8.85
Lincoln,5724,96229315.0,1.06,1.3,10.16
Cadillac,7488,114092021.0,1.39,1.55,11.7
Ram,4514,114146161.0,0.84,1.55,13.25
Audi,5841,116465275.0,1.09,1.58,14.83
Volkswagen,12434,116578984.0,2.31,1.58,16.41
Gmc,10535,178557770.0,1.96,2.42,18.82
Chrysler,16609,178864216.0,3.09,2.42,21.25
Kia,17837,211380513.0,3.32,2.86,24.11
Jeep,14869,218447953.0,2.76,2.96,27.07
Hyundai,21435,236354186.0,3.98,3.2,30.27
Lexus,11839,240370855.0,2.2,3.26,33.53
Honda,27063,296692385.0,5.03,4.02,37.55
Infiniti,15281,312332640.0,2.84,4.23,41.78
Dodge,29802,328832244.0,5.54,4.45,46.23
Mercedes-Benz,16986,367772706.0,3.16,4.98,51.21
Bmw,20330,432313288.0,3.78,5.86,57.07
Toyota,39218,481376060.0,7.29,6.52,63.59
Nissan,53608,630814306.0,9.96,8.54,72.13
Chevrolet,59866,718479049.0,11.13,9.73,81.87
Ford,92120,1338612544.0,17.12,18.13,100.0
